,close,MA_Short,MA_Long,MA_True,MA_Cross,,,,,,5,10
21,3777,3787.218874,3792.352721,-1,0,3787.221652,0.002777546,3792.542014,0.189293176,,,
22,3778,3784.145642,3789.717047,-1,0,3784.147768,0.002125537,3789.898011,0.180964045,,,
23,3781,3783.097033,3788.11919,-1,0,3783.098512,0.001479312,3788.280191,0.161001481,,,
24,3785,3783.73138,3787.548281,-1,0,3783.732341,0.000961088,3787.683793,0.135511269,,,
25,3786,3784.487607,3787.265241,-1,0,3784.488228,0.000620765,3787.377649,0.112407278,,,
26,3779,3782.658372,3785.755775,-1,0,3782.658818,0.00044604,3785.85444,0.098664864,,,
27,3781,3782.105575,3784.887939,-1,0,3782.105879,0.00030384,3784.971814,0.083875234,,,
28,3778,3780.737039,3783.631857,-1,0,3780.737253,0.00021327,3783.704212,0.072354796,,,
29,3774,3778.491348,3781.876345,-1,0,3778.491502,0.000153893,3781.93981,0.063464182,,,
30,3793,3783.327582,3783.902856,-1,0,3783.327668,8.57822E-05,3783.950753,0.047897201,,,
31,3791,3785.885061,3785.195348,1,1,3785.885112,5.12615E-05,3785.232435,0.037086667,,,
32,3797,3789.590046,3787.344508,1,0,3789.590075,2.84477E-05,3787.371992,0.027483986,,,
33,3788,3789.06003,3787.463818,1,0,3789.06005,1.95151E-05,3787.486175,0.022357009,,,
34,3791,3789.706687,3788.107334,1,0,3789.7067,1.25667E-05,3788.125052,0.017718899,,,
35,3791,3790.137792,3788.633656,1,0,3790.1378,8.17783E-06,3788.64777,0.014113711,,,
36,3790,3790.091861,3788.882231,1,0,3790.091867,5.46522E-06,3788.89363,0.011399362,,,
37,3788,3789.394574,3788.721747,1,0,3789.394578,3.78348E-06,3788.731152,0.009405046,,,
38,3786,3788.263049,3788.226686,1,0,3788.263052,2.67565E-06,3788.234579,0.007892649,,,
39,3780,3785.508699,3786.730436,-1,-1,3785.508701,2.03044E-06,3786.737383,0.006946264,,,
40,3785,3785.339133,3786.415728,-1,0,3785.339134,1.37029E-06,3786.421495,0.005767402,,,
41,3791,3787.226089,3787.249414,-1,0,3787.226089,8.3686E-07,3787.25395,0.004536519,,,
42,3790,3788.150726,3787.74961,1,1,3788.150726,5.34573E-07,3787.753232,0.003622224,,,
43,3787,3787.76715,3787.613297,1,0,3787.767151,3.66383E-07,3787.616281,0.002983595,,,
44,3789,3788.1781,3787.865455,1,0,3788.178101,2.40922E-07,3787.867866,0.002410926,,,
45,3788,3788.118734,3787.88992,1,0,3788.118734,1.53948E-07,3787.89189,0.001970183,,,
46,3789,3788.412489,3788.091769,1,0,3788.412489,1.02632E-07,3788.093365,0.001595781,,,
