,close,MA_Short,MA_Long,MA_True,MA_Cross
253,3799,3795.81791119,3794.14869333,1,0
254,3804,3798.54527413,3795.93984,1,0
255,3814,3803.69684942,3799.22350545,1,0
256,3818,3808.46456628,3802.63741355,1,0
257,3814,3810.30971085,3804.70333836,1,0
258,3819,3813.2064739,3807.30273139,1,0
259,3810,3812.13764927,3807.79314386,1,0
260,3812,3812.09176618,3808.55802679,1,0
261,3814,3812.72784412,3809.54747647,1,0
262,3817,3814.15189608,3810.90248075,1,0
263,3814,3814.10126405,3811.46566607,1,0
264,3810,3812.73417604,3811.19918133,1,0
265,3815,3813.48945069,3811.89023927,1,0
266,3812,3812.99296713,3811.91019576,1,0
267,3810,3811.99531142,3811.56288744,1,0
268,3811,3811.66354095,3811.46054427,1,0
269,3815,3812.77569396,3812.10408168,1,0
270,3817,3814.18379598,3812.99424864,1,0
271,3817,3815.12253065,3813.72256707,1,0
272,3820,3816.74835377,3814.86391851,1,0
273,3817,3816.83223584,3815.25229697,1,0
274,3821,3818.22149056,3816.29733388,1,0
275,3820,3818.81432704,3816.9705459,1,0
276,3818,3818.54288469,3817.15771938,1,0
277,3824,3820.36192313,3818.4017704,1,0
278,3826,3822.24128209,3819.78326669,1,0
279,3821,3821.82752139,3820.00449093,1,0
280,3820,3821.21834759,3820.0036744,1,0
281,3822,3821.4788984,3820.36664269,1,0
282,3813,3818.65259893,3819.02725311,-1,-1
283,3811,3816.10173262,3817.56775254,-1,0
284,3814,3815.40115508,3816.91907026,-1,0
285,3813,3814.60077005,3816.20651203,-1,0
286,3811,3813.40051337,3815.25987348,-1,0
287,3815,3813.93367558,3815.21262376,-1,0
288,3810,3812.62245039,3814.26487398,-1,0
289,3814,3813.08163359,3814.21671508,-1,0
290,3812,3812.72108906,3813.81367597,-1,0
291,3817,3814.14739271,3814.39300761,-1,0
292,3812,3813.43159514,3813.95791532,-1,0
293,3810,3812.28773009,3813.23829435,-1,0
294,3811,3811.85848673,3812.83133174,-1,0
295,3814,3812.57232449,3813.04381688,-1,0
